
=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 7 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bilinear | Time: 36 ms | PSNR: 27.423871 | SSIM: 0.949853 | RMSE: 10.847924
Algoritm: Bicubic (a=-0.5) | Time: 259 ms | PSNR: 27.485836 | SSIM: 0.952599 | RMSE: 10.770810
Algoritm: Bicubic (a=-0.7) | Time: 213 ms | PSNR: 27.392233 | SSIM: 0.952638 | RMSE: 10.887509
Algoritm: Bicubic (a=-1.0) | Time: 229 ms | PSNR: 27.209252 | SSIM: 0.951623 | RMSE: 11.119303
Algoritm: Lanczos (a=2) | Time: 527 ms | PSNR: 27.485975 | SSIM: 0.952620 | RMSE: 10.770638
Algoritm: Lanczos (a=3) | Time: 1036 ms | PSNR: 27.266881 | SSIM: 0.951475 | RMSE: 11.045773
Algoritm: Lanczos (a=4) | Time: 2317 ms | PSNR: 27.155985 | SSIM: 0.950219 | RMSE: 11.187703
Algoritm: OpenCV Nearest | Time: 22 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: OpenCV Bilinear | Time: 2 ms | PSNR: 29.306490 | SSIM: 0.964680 | RMSE: 8.734050
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 35.162798 | SSIM: 0.991500 | RMSE: 4.450413
Algoritm: OpenCV Lanczos | Time: 10 ms | PSNR: 36.210860 | SSIM: 0.993356 | RMSE: 3.944547

=== Testing on: shell | Scale: 0.5 x 0.5 ===
Algoritm: Nearest | Time: 0 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bilinear | Time: 1 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bicubic (a=-0.5) | Time: 14 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bicubic (a=-0.7) | Time: 18 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Bicubic (a=-1.0) | Time: 15 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Lanczos (a=2) | Time: 35 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Lanczos (a=3) | Time: 77 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: Lanczos (a=4) | Time: 153 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 20.558402 | SSIM: 0.744505 | RMSE: 23.912231
Algoritm: OpenCV Bilinear | Time: 0 ms | PSNR: 22.193943 | SSIM: 0.789952 | RMSE: 19.808110
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 22.572100 | SSIM: 0.816066 | RMSE: 18.964228
Algoritm: OpenCV Lanczos | Time: 0 ms | PSNR: 22.249539 | SSIM: 0.805354 | RMSE: 19.681727

=== Testing on: shell | Scale: 1.5 x 0.75 ===
Algoritm: Nearest | Time: 2 ms | PSNR: 23.933108 | SSIM: 0.887993 | RMSE: 16.213799
Algoritm: Bilinear | Time: 10 ms | PSNR: 25.992592 | SSIM: 0.922306 | RMSE: 12.791179
Algoritm: Bicubic (a=-0.5) | Time: 83 ms | PSNR: 26.775758 | SSIM: 0.937116 | RMSE: 11.688326
Algoritm: Bicubic (a=-0.7) | Time: 76 ms | PSNR: 26.927674 | SSIM: 0.940196 | RMSE: 11.485674
Algoritm: Bicubic (a=-1.0) | Time: 91 ms | PSNR: 27.003106 | SSIM: 0.942292 | RMSE: 11.386359
Algoritm: Lanczos (a=2) | Time: 261 ms | PSNR: 26.771426 | SSIM: 0.937076 | RMSE: 11.694156
Algoritm: Lanczos (a=3) | Time: 433 ms | PSNR: 27.029113 | SSIM: 0.941772 | RMSE: 11.352318
